;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;#DIV/0!;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Time,FPS;Time,FPS;Time,FPS;Time,FPS;Time,FPS;Time,FPS;Time,FPS;Time,FPS;Time,FPS
50;50;50;50;50;50;50;50;50
374,6441;304,9338;399,1697;349,5037;322,0508;148,6746;338,7878;301,8594;363,2665
269,0269;260,695;369,2626;336,3493;424,6104;327,3644;364,8037;246,9319;392,3261
295,3948;290,2252;327,0539;325,4361;354,1955;384,8226;398,1367;332,7455;367,1746
334,0013;322,0197;340,0435;366,7975;385,6239;317,2186;350,0665;272,1533;325,6587
395,6792;355,72;369,5764;339,2706;281,1911;270,2046;338,1692;313,6664;374,1255
222,7668;286,9688;322,0923;355,3155;369,3035;317,5107;335,9425;343,9736;366,9321
;261,1784;336,2927;355,2019;362,9633;325,648;317,7024;382,5262;369,6038
;273,508;354,1202;302,3249;348,7115;228,0034;399,4248;333,8229;377,8861
;312,1294;332,7566;385,4604;376,0388;;363,8878;312,3926;358,8603
;310,7906;295,1507;383,9951;336,1909;;;363,8745;361,1542
;259,7065;344,8157;328,8608;397,046;;;350,5328;352,8457
;298,0093;324,6542;326,8508;282,9415;;;279,9474;359,7252
;327,0218;298,2493;391,3894;;;;334,7841;339,3512
;297,5305;348,3107;336,4511;;;;340,1013;333,7895
;229,3262;305,8384;358,1277;;;;350,9265;364,5909
;200,2483;271,0541;;;;;370,5488;368,7044
;305,092;;;;;;314,2282;351,5804
;;;;;;;346,6445;299,455
;;;;;;;302,6543;
;;;;;;;316,2055;
;;;;;;;352,0755;
;;;;;;;329,8588;
;;;;;;;341,1572;
;;;;;;;316,2455;
;;;;;;;342,9944;
;;;;;;;322,7577;
;;;;;;;216,948;
315,2521833;287,9472647;333,6525625;349,42232;353,4056;289,9308625;356,3246;323,4280296;357,0572333
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;318,4004;;;
Time,FPS
50
371,2917
350,4714
373,0508
401,0749
Time,FPS
50
381,2719
365,7912
321,4607
310,3662
384,2902
353,7569
300,6253
348,25
Time,FPS
50
341,4368
313,5878
259,8347
280,9936
304,0715
324,8757
340,9944
126,1495
336,8138
Time,FPS
50
533,1343
558,9402
535,877
485,5312
458,2531
485,9086
480,2613
479,4323
468,121
471,0094
460,3628
Time,FPS
50
388,5306
368,297
469,7924
468,0552
441,1116
472,3889
414,6969
457,624
408,7305
387,5368
408,1966
425,7312
371,5125
428,1005
56,28856
66,49068
458,3792
65,9548
430,0891
419,4455
447,4273
470,4333
469,5718
359,7122
456,8296
428,3756
431,6671
460,0663
436,8529
450,3084
460,8507
426,2029
447,2272
414,0958
421,763
368,9356
407,3983
405,8606
382,8191
416,0599
458,0013
225,281
419,7096
365,8581
456,038
451,8753
439,7924
465,1163
466,4832
410,2227
452,4068
411,2857
437,6176
221,6116
410,6945
426,4756
455,6016
421,6029
412,7967
373,9296
453,2886
450,7144
470,5218
452,3658
411,9634
454,4628
441,5791
454,8142
61,0952
463,3705
453,412
466,5267
400,9302
426,1666
382,2338
69,26023
398,5652
413,1037
442,1062
410,1723
366,0322
434,7259
455,9964
454,0089
459,0315
393,6543
347,0415
445,1765
459,4321
417,3797
456,8296
412,4902
446,5681
423,7109
418,5677
452,0591
402,5279
419,9916
419,2697
427,5514
443,1642
420,2563
442,3017
405,976
384,2459
402,3012
453,0833
437,5985
448,6317
466,2439
397,7092
431,5367
466,7445
458,8419
452,4068
421,9053
372,7866
413,1378
457,2474
382,995
444,7014
447,5274
468,6036
419,1818
453,6793
456,621
72,40448
229,5631
406,719
444,7212
75,43925
408,814
375,4036
456,9549
436,205
411,5226
403,4373
458,5473
457,1429
421,3542
443,2624
461,8938
437,6751
459,9604
450,3693
400,4164
468,4938
391,957
444,1483
443,4
380,7203
440,4898
345,7815
423,9084
250,5763
417,8855
456,7044
417,4843
453,9677
208,3637
467,1369
384,719
318,218
423,9444
348,9549
466,3092
461,4036
428,1005
401,2358
448,6317
433,5009
431,3133
434,8015
444,0695
402,0262
439,4639
412,1842
428,4857
426,3665
417,7807
404,4326
441,5596
420,5568
445,018
415,9388
395,0227
441,0922
440,5674
442,6933
424,5563
395,2413
407,2324
430,7745
414,2159
447,828
441,4816
467,0933
441,5986
441,0533
379,3914
371,1401
408,5802
411,218
417,0663
434,3105
435,18
444,3062
441,3647
374,9391
417,7807
447,0073
433,0129
415,5067
399,888
445,5931
452,0591
446,3887
409,249
419,7624
411,3364
451,4469
386,8023
409,4501
449,0951
455,5394
447,1672
419,2697
456,1212
437,2923
428,7613
212,9472
414,955
219,3945
415,9734
447,5875
450,999
465,4626
453,1038
456,4751
465,2245
440,8977
462,813
464,1017
447,5274
420,8754
426,8397
452,8165
448,9943
469,7703
448,9338
453,8029
424,5744
345,006
465,1379
475,76
448,3099
387,6269
441,7547
464,1017
412,8819
444,9586
437,8284
222,6824
461,0845
408,4633
427,8807
461,8084
453,7
406,7025
367,7011
445,1765
471,6981
433,4633
382,1023
452,6321
419,3048
456,8087
468,8233
429,4057
471,2091
435,2178
459,0315
438,8852
468,4499
445,8712
465,9615
369,8088
415,5412
472,3889
448,9539
437,1967
379,9969
426,3483
468,2305
454,5455
448,4908
365,5772
453,8441
442,5758
397,9466
441,5791
446,4884
454,9797
418,8131
422,6364
410,9139
457,3729
443,9709
464,6408
419,6039
446,8275
464,7488
440,6839
452,1818
408,1133
443,8723
414,7828
359,6993
422,1725
413,7532
440,8977
467,705
455,3734
196,7342
409,1988
401,5903
409,0314
454,4835
209,4987
393,8093
460,6808
417,9728
411,9125
462,8344
435,3126
452,9806
465,7662
425,9669
440,0246
473,4625
467,5082
434,6692
349,4915
418,778
469,8144
443,1838
444,326
450,0247
374,602
469,1312
446,628
449,5796
455,4356
460,5748
421,9944
451,7936
447,4673
463,435
448,0086
456,9131
449,2767
215,3131
455,2697
454,6488
355,5429
447,0872
465,3327
452,2227
437,1394
451,3857
433,7642
443,4
414,7141
456,8714
418,7254
444,0892
464,5113
411,9464
460,0874
451,9774
447,4273
215,1509
452,5296
462,9415
422,4936
460,9995
464,1663
460,8507
409,3998
464,2094
466,3092
455,7262
459,7701
439,1936
467,4208
423,4238
420,4684
360,6593
151,1053
433,3131
432,657
466,6791
50
227,8475
350,2136
384,8522
421,6029
377,7433
337,1999
429,7194
460,1509
